fips,lat,lon,cen_pop,src
01001,32.500194,-86.487813,58805,cenpop2020
01003,30.537396,-87.761478,231767,cenpop2020
01005,31.843981,-85.301306,25223,cenpop2020
01007,33.032236,-87.136826,22293,cenpop2020
01009,33.954604,-86.592667,59134,cenpop2020
01011,32.115838,-85.702354,10357,cenpop2020
01013,31.776019,-86.6524,19051,cenpop2020
01015,33.727215,-85.817974,116441,cenpop2020
01017,32.85644,-85.25964,34772,cenpop2020
01019,34.180501,-85.629887,24971,cenpop2020
01021,32.879146,-86.688861,45014,cenpop2020
01023,32.016121,-88.262482,12665,cenpop2020
01025,31.683493,-87.815868,23087,cenpop2020
01027,33.274342,-85.817245,14236,cenpop2020
01029,33.625217,-85.495748,15056,cenpop2020
01031,31.353217,-85.899556,53465,cenpop2020
01033,34.724339,-87.681892,57227,cenpop2020
01035,31.41643,-86.997537,11597,cenpop2020
01037,32.976884,-86.156212,10387,cenpop2020
01039,31.284146,-86.409203,37570,cenpop2020
01041,31.747324,-86.296787,13194,cenpop2020
01043,34.162652,-86.83269,87866,cenpop2020
01045,31.383858,-85.63771,49326,cenpop2020
01047,32.411818,-87.035342,38462,cenpop2020
01049,34.452725,-85.817465,71608,cenpop2020
01051,32.558527,-86.225332,87977,cenpop2020
01053,31.085439,-87.280078,36757,cenpop2020
01055,34.012182,-86.025892,103436,cenpop2020
01057,33.726912,-87.76749,16321,cenpop2020
01059,34.463509,-87.793592,32113,cenpop2020
01061,31.094511,-85.781426,26659,cenpop2020
01063,32.833838,-87.924522,7730,cenpop2020
01065,32.783251,-87.627964,14785,cenpop2020
01067,31.469275,-85.271132,17146,cenpop2020
01069,31.204793,-85.39632,107202,cenpop2020
01071,34.727289,-85.943552,52579,cenpop2020
01073,33.517206,-86.811606,674721,cenpop2020
01075,33.761275,-88.108771,13972,cenpop2020
01077,34.865524,-87.608858,93564,cenpop2020
01079,34.540863,-87.27158,33073,cenpop2020
01081,32.592265,-85.359778,174241,cenpop2020
01083,34.803982,-86.922366,103570,cenpop2020
01085,32.164241,-86.615186,10311,cenpop2020
01087,32.429073,-85.711764,19532,cenpop2020
01089,34.742996,-86.61533,388153,cenpop2020
01091,32.342372,-87.803475,19323,cenpop2020
01093,34.110448,-87.876476,29341,cenpop2020
01095,34.311249,-86.291329,97612,cenpop2020
01097,30.684049,-88.175178,414809,cenpop2020
01099,31.4988,-87.364576,19772,cenpop2020
01101,32.346473,-86.233787,228954,cenpop2020
01103,34.513887,-86.931981,123421,cenpop2020
01105,32.584881,-87.369738,8511,cenpop2020
01107,33.284667,-88.074381,19123,cenpop2020
01109,31.786041,-85.946994,33009,cenpop2020
01111,33.264692,-85.427378,21967,cenpop2020
01113,32.414904,-85.054594,59183,cenpop2020
01115,33.660943,-86.374875,91103,cenpop2020
01117,33.290336,-86.73899,223024,cenpop2020
01119,32.571003,-88.230925,12345,cenpop2020
01121,33.376936,-86.165876,82149,cenpop2020
01123,32.851728,-85.864016,41311,cenpop2020
01125,33.214817,-87.518474,227036,cenpop2020
01127,33.834217,-87.250515,65342,cenpop2020
01129,31.413666,-88.195263,15388,cenpop2020
01131,32.007448,-87.376912,10600,cenpop2020
01133,34.164369,-87.415624,23540,cenpop2020
02013,54.672887,-163.763729,3420,cenpop2020
02016,54.024627,-168.148047,5232,cenpop2020
02020,61.191547,-149.792287,291247,cenpop2020
02050,60.667568,-162.178288,18666,cenpop2020
02060,58.733456,-156.833611,844,cenpop2020
02063,60.881369,-146.199156,7102,cenpop2020
02066,62.060769,-145.032939,2617,cenpop2020
02068,63.86431,-149.027498,1619,cenpop2020
02070,59.128804,-158.75132,4857,cenpop2020
02090,64.831239,-147.623249,95655,cenpop2020
02100,59.234185,-135.497336,2080,cenpop2020
02105,58.123876,-135.423534,2365,cenpop2020
02110,58.360173,-134.533023,32255,cenpop2020
02122,60.283998,-151.068103,58799,cenpop2020
02130,55.369105,-131.678418,13948,cenpop2020
02150,57.774607,-152.454785,13101,cenpop2020
02158,62.076819,-164.34049,8368,cenpop2020
02164,58.617154,-156.27339,1476,cenpop2020
02170,61.607247,-149.432649,107081,cenpop2020
02180,64.431631,-165.269108,10046,cenpop2020
02185,70.480816,-155.295377,11031,cenpop2020
02188,66.897051,-161.582978,7793,cenpop2020
02195,56.79507,-132.943575,3398,cenpop2020
02198,55.59077,-132.668824,5753,cenpop2020
02220,57.062777,-135.335988,8458,cenpop2020
02230,59.465893,-135.310551,1240,cenpop2020
02240,63.861551,-144.698751,6808,cenpop2020
02275,56.426145,-132.355422,2127,cenpop2020
02282,59.545059,-139.714907,662,cenpop2020
02290,64.966051,-152.827744,5343,cenpop2020
04001,35.543654,-109.419015,66021,cenpop2020
04003,31.603486,-110.072835,125447,cenpop2020
04005,35.476113,-111.601825,145101,cenpop2020
04007,33.844439,-111.015003,53272,cenpop2020
04009,32.867145,-109.808107,38533,cenpop2020
04011,32.985155,-109.259546,9563,cenpop2020
04012,33.954185,-114.183775,16557,cenpop2020
04013,33.490147,-112.044016,4420568,cenpop2020
04015,35.034511,-114.262415,213267,cenpop2020
04017,34.862151,-110.205157,106717,cenpop2020
04019,32.216427,-110.95803,1043433,cenpop2020
04021,33.069323,-111.602135,425264,cenpop2020
04023,31.439234,-110.945948,47669,cenpop2020
04025,34.628734,-112.273841,236209,cenpop2020
04027,32.641391,-114.605444,203881,cenpop2020
05001,34.403488,-91.460834,17149,cenpop2020
05003,33.17959,-91.877908,19062,cenpop2020
05005,36.331791,-92.383935,41627,cenpop2020
05007,36.335056,-94.230342,284333,cenpop2020
05009,36.266608,-93.098769,37373,cenpop2020
05011,33.574422,-92.101277,10545,cenpop2020
05013,33.585989,-92.500683,4739,cenpop2020
05015,36.375744,-93.574712,28260,cenpop2020
05017,33.325951,-91.318357,10208,cenpop2020
05019,34.099325,-93.123962,21446,cenpop2020
05021,36.370287,-90.366417,14552,cenpop2020
05023,35.507218,-92.037753,24711,cenpop2020
05025,33.912967,-92.136375,7550,cenpop2020
05027,33.258766,-93.247178,22801,cenpop2020
05029,35.21299,-92.705923,20715,cenpop2020
05031,35.835762,-90.669235,111231,cenpop2020
05033,35.494096,-94.285922,60133,cenpop2020
05035,35.176704,-90.213521,48163,cenpop2020
05037,35.251667,-90.777424,16833,cenpop2020
05039,33.864882,-92.525216,6482,cenpop2020
05041,33.768029,-91.415165,11395,cenpop2020
05043,33.627329,-91.784085,17350,cenpop2020
05045,35.105697,-92.406071,123498,cenpop2020
05047,35.442155,-93.891039,17097,cenpop2020
05049,36.375654,-91.766807,12075,cenpop2020
05051,34.505767,-93.080729,100180,cenpop2020
05053,34.311672,-92.412583,17958,cenpop2020
05055,36.071536,-90.522562,45736,cenpop2020
05057,33.698177,-93.620782,20065,cenpop2020
05059,34.353569,-92.895511,33040,cenpop2020
05061,33.981466,-93.908938,12785,cenpop2020
05063,35.750729,-91.607338,37938,cenpop2020
05065,36.1215,-91.911716,13577,cenpop2020
05067,35.623062,-91.246504,16755,cenpop2020
05069,34.234814,-92.045118,67260,cenpop2020
05071,35.476548,-93.473125,25749,cenpop2020
05073,33.278875,-93.557713,6308,cenpop2020
05075,36.070844,-91.064441,16216,cenpop2020
05077,34.787429,-90.769631,8600,cenpop2020
05079,33.973433,-91.745899,12941,cenpop2020
05081,33.700349,-94.198663,12026,cenpop2020
05083,35.227664,-93.768311,21131,cenpop2020
05085,34.916983,-91.973917,74015,cenpop2020
05087,36.062896,-93.757685,16521,cenpop2020
05089,36.284395,-92.660219,16826,cenpop2020
05091,33.402394,-93.987198,42600,cenpop2020
05093,35.843368,-90.001606,40685,cenpop2020
05095,34.777063,-91.221516,6799,cenpop2020
05097,34.514568,-93.622447,8484,cenpop2020
05099,33.725543,-93.359433,8310,cenpop2020
05101,35.982591,-93.165658,7225,cenpop2020
05103,33.573847,-92.838686,22650,cenpop2020
05105,34.998711,-92.777667,10019,cenpop2020
05107,34.530919,-90.703802,16568,cenpop2020
05109,34.186355,-93.626194,10171,cenpop2020
05111,35.604751,-90.558401,22965,cenpop2020
05113,34.522847,-94.25793,19221,cenpop2020
05115,35.309054,-93.096833,63381,cenpop2020
05117,34.863817,-91.540516,8282,cenpop2020
05119,34.775246,-92.315081,399125,cenpop2020
05121,36.302137,-90.989599,18571,cenpop2020
05123,35.016355,-90.774948,23090,cenpop2020
05125,34.596991,-92.546119,123416,cenpop2020
05127,34.904224,-94.097007,9836,cenpop2020
05129,35.923072,-92.660663,7828,cenpop2020
05131,35.318718,-94.354788,127799,cenpop2020
05133,34.015316,-94.30378,15839,cenpop2020
05135,36.178093,-91.51953,17271,cenpop2020
05137,35.855714999999996,-92.133812,12359,cenpop2020
05139,33.207421,-92.65198,39054,cenpop2020
05141,35.568095,-92.42013,15796,cenpop2020
05143,36.09592,-94.172336,245871,cenpop2020
05145,35.239408,-91.773595,76822,cenpop2020
05147,35.233161,-91.251021,6269,cenpop2020
05149,35.127752,-93.28293,20263,cenpop2020
06001,37.706599,-122.098766,1682353,cenpop2020
06003,38.728485,-119.847822,1204,cenpop2020
06005,38.395906,-120.778038,40474,cenpop2020
06007,39.658926,-121.72651,211632,cenpop2020
06009,38.157342,-120.645222,45292,cenpop2020
06011,39.153446,-122.083801,21839,cenpop2020
06013,37.93501,-122.024961,1165927,cenpop2020
06015,41.790833,-124.164236,27743,cenpop2020
06017,38.741021,-120.761446,191185,cenpop2020
06019,36.743848,-119.765291,1008654,cenpop2020
06021,39.665777,-122.179287,28917,cenpop2020
06023,40.757636,-124.088127,136463,cenpop2020
06025,32.841599,-115.540049,179702,cenpop2020
06027,37.171422,-118.268567,19016,cenpop2020
06029,35.369809,-118.941786,909235,cenpop2020
06031,36.252657,-119.726922,152486,cenpop2020
06033,38.976233,-122.732922,68163,cenpop2020
06035,40.393749,-120.584467,32730,cenpop2020
06037,34.067886,-118.24599,10014009,cenpop2020
06039,37.037074,-120.009796,156255,cenpop2020
06041,37.986474,-122.546657,262321,cenpop2020
06043,37.532076000000004,-119.971401,17131,cenpop2020
06045,39.285646,-123.394154,91601,cenpop2020
06047,37.274812,-120.628944,281202,cenpop2020
06049,41.521665,-120.631201,8700,cenpop2020
06051,37.773016,-118.970627,13195,cenpop2020
06053,36.614681,-121.646692,439035,cenpop2020
06055,38.325108,-122.319983,138019,cenpop2020
06057,39.220021,-120.915206,102241,cenpop2020
