gid_2,gadm_name,state,state_name,fips,clean
USA.2.14_1,Lake and Peninsula,AK,Alaska,02164,lake and peninsula
USA.14.12_1,Clark,IL,Illinois,17023,clark
USA.44.214_1,Starr,TX,Texas,48427,starr
USA.21.9_1,Dorchester,MD,Maryland,24019,dorchester
USA.4.29_1,Hempstead,AR,Arkansas,05057,hempstead
USA.44.110_1,Hockley,TX,Texas,48219,hockley
USA.34.47_1,Hoke,NC,North Carolina,37093,hoke
USA.24.33_1,Kanabec,MN,Minnesota,27065,kanabec
USA.43.16_1,Coffee,TN,Tennessee,47031,coffee
USA.42.54_1,Roberts,SD,South Dakota,46109,roberts
USA.39.33_1,Jefferson,PA,Pennsylvania,42065,jefferson
USA.18.52_1,Henry,KY,Kentucky,21103,henry
USA.33.23_1,Jefferson,NY,New York,36045,jefferson
USA.28.56_1,Lincoln,NE,Nebraska,31111,lincoln
USA.39.9_1,Bucks,PA,Pennsylvania,42017,bucks
USA.37.26_1,Grady,OK,Oklahoma,40051,grady
USA.44.59_1,Deaf Smith,TX,Texas,48117,deaf smith
USA.28.41_1,Hamilton,NE,Nebraska,31081,hamilton
USA.42.46_1,Meade,SD,South Dakota,46093,meade
USA.32.12_1,Harding,NM,New Mexico,35021,harding
USA.26.65_1,Mercer,MO,Missouri,29129,mercer
USA.6.54_1,Rio Grande,CO,Colorado,08105,rio grande
USA.11.15_1,Bryan,GA,Georgia,13029,bryan
USA.44.69_1,Edwards,TX,Texas,48137,edwards
USA.17.59_1,McPherson,KS,Kansas,20113,mcpherson
USA.10.29_1,Holmes,FL,Florida,12059,holmes
USA.27.38_1,Powder River,MT,Montana,30075,powder river
USA.26.34_1,Douglas,MO,Missouri,29067,douglas
USA.6.37_1,Las Animas,CO,Colorado,08071,las animas
USA.14.48_1,Knox,IL,Illinois,17095,knox
USA.13.5_1,Benewah,ID,Idaho,16009,benewah
USA.28.32_1,Frontier,NE,Nebraska,31063,frontier
USA.47.63_1,Hopewell,VA,Virginia,51670,hopewell
USA.25.79_1,Wilkinson,MS,Mississippi,28157,wilkinson
USA.11.43_1,Decatur,GA,Georgia,13087,decatur
USA.25.49_1,Montgomery,MS,Mississippi,28097,montgomery
USA.23.10_1,Benzie,MI,Michigan,26019,benzie
USA.35.11_1,Dickey,ND,North Dakota,38021,dickey
USA.18.65_1,Lee,KY,Kentucky,21129,lee
USA.43.56_1,Marion,TN,Tennessee,47115,marion
USA.43.85_1,Trousdale,TN,Tennessee,47169,trousdale
USA.14.23_1,Edgar,IL,Illinois,17045,edgar
