cbg,cbg_lat,cbg_lon,cbg_pop,area_km2
010010201001,32.464466,-86.486302,575,4.264299
010010201002,32.482744,-86.486741,1200,5.561005
010010202001,32.47837,-86.474486,974,2.058374
010010202002,32.466065,-86.470884,1081,1.262444
010010203001,32.477855,-86.459855,2377,3.866513
010010203002,32.465313,-86.457551,839,1.482758
010010204001,32.476805,-86.447388,942,2.730126
010010204002,32.470267,-86.440324,1902,1.783971
010010204003,32.463322,-86.443933,867,0.750823
010010204004,32.457221,-86.443231,535,1.119362
010010205011,32.45123,-86.419407,2390,4.317355
010010205012,32.451907,-86.430626,1932,1.886299
010010205021,32.469687,-86.414802,2003,1.112127
010010205022,32.466182,-86.422321,1281,0.985263
010010205031,32.480032,-86.41365,764,0.650125
010010205032,32.478058,-86.429478,1327,1.148274
010010205033,32.470923,-86.426744,1525,1.309424
010010206001,32.435369,-86.481723,1181,3.8458039999999998
010010206002,32.441523,-86.46656,614,0.830949
010010206003,32.448754,-86.47662,1934,3.364858
010010207001,32.45137,-86.450237,1211,2.809526
010010207002,32.449209,-86.459886,1074,3.515405
010010207003,32.430443,-86.436479,1124,16.086917
010010208011,32.410684,-86.526996,976,80.949289
010010208012,32.447238,-86.509675,864,8.84269
010010208013,32.459012,-86.53069,1303,34.480685
010010208031,32.525293,-86.516124,823,25.490823
010010208032,32.539951,-86.605025,587,28.14885
010010208033,32.546142,-86.48267,1599,27.323834
010010208034,32.524912,-86.556089,1626,48.06662
010010208041,32.499898,-86.47325,1702,11.553387
010010208042,32.496542,-86.427763,4362,14.824851
010010208051,32.513794,-86.419384,1092,8.274697
010010208052,32.564128,-86.438641,2030,27.162604
010010209011,32.682325,-86.465988,1341,54.318041
010010209012,32.610948,-86.451706,1927,50.934199
010010209021,32.632115,-86.590136,1396,102.175338
010010209022,32.619156,-86.514851,1695,85.329239
010010210001,32.600157,-86.83741,793,206.459087
010010210002,32.577332,-86.668876,1026,94.472085
010010210003,32.660794,-86.691634,826,85.934111
010010211001,32.498064,-86.810173,517,112.546636
010010211002,32.414678,-86.691149,822,204.033657
010010211003,32.483835,-86.630746,999,85.208287
010010211004,32.475136,-86.698753,847,76.363173
010030101001,31.164459,-87.80733,538,331.563832
010030101002,31.005046,-87.830259,1472,220.671636
010030101003,31.069256,-87.683672,1735,419.291558
010030102001,30.9608,-87.704905,1763,116.143628
010030102002,30.923911,-87.65947,1237,105.653559
010030103001,30.769111,-87.895111,1053,48.272941
010030103002,30.74724,-87.869338,2745,64.370735
010030103003,30.872958,-87.846337,1727,169.059763
010030103004,30.829018,-87.826004,775,13.863278
010030103005,30.817829,-87.793994,2080,47.471259
010030104001,30.667119,-87.533601,952,346.917418
010030104002,30.677951,-87.703827,1692,139.109439
010030104003,30.805936,-87.746147,3078,251.445877
010030105001,30.882233,-87.781334,1375,2.963894
